CO_ENTIDADE;NO_ENTIDADE;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TP_DEPENDENCIA;IN_ENSINO_MEDIO;IN_BIBLIOTECA;IN_LABORATORIO_INFORMATICA;IN_LABORATORIO_CIENCIAS;IN_QUADRA_ESPORTES;IN_SALA_ATENDIMENTO_ESPECIAL;IN_INTERNET;NU_MATRICULAS
ESC00001;Escola 1;3526829;Município 68;RN;1;1.0;0;0;1;1;0;1;332
ESC00002;Escola 2;1598265;Município 43;RS;1;1.0;0;1;1;1;0;1;148
ESC00003;Escola 3;2726502;Município 23;PA;3;1.0;1;0;0;0;0;1;76
ESC00004;Escola 4;1248881;Município 40;PR;1;1.0;1;1;1;0;1;0;280
ESC00005;Escola 5;6528453;Município 18;CE;1;1.0;1;0;0;1;0;1;142
ESC00006;Escola 6;1014253;Município 31;PE;4;1.0;0;0;0;1;1;1;487
ESC00007;Escola 7;4026055;Município 1;ES;1;1.0;1;0;0;0;0;0;134
ESC00008;Escola 8;7296975;Município 7;RO;1;1.0;0;1;0;1;0;0;443
ESC00009;Escola 9;8639787;Município 22;PI;1;1.0;1;1;0;0;0;1;410
ESC00010;Escola 10;5196914;Município 33;TO;1;1.0;0;1;0;0;1;1;288
ESC00011;Escola 11;5521643;Município 74;SE;2;1.0;0;0;0;1;0;0;69
ESC00012;Escola 12;7589212;Município 99;CE;1;1.0;0;1;0;0;0;1;113
ESC00013;Escola 13;5196914;Município 33;RS;1;1.0;1;1;1;0;1;1;257
ESC00014;Escola 14;9850005;Município 81;PI;1;1.0;1;1;0;1;0;1;220
ESC00015;Escola 15;6276549;Município 66;BA;1;1.0;0;0;0;1;1;1;250
ESC00016;Escola 16;1598265;Município 43;PA;1;1.0;1;1;0;0;0;0;106
ESC00017;Escola 17;6448986;Município 45;MS;1;1.0;1;0;1;0;1;1;181
ESC00018;Escola 18;1598265;Município 43;AC;2;1.0;1;0;1;0;1;1;424
ESC00019;Escola 19;4691137;Município 93;PB;1;1.0;0;1;0;1;0;0;299
ESC00020;Escola 20;7937654;Município 73;RR;1;1.0;1;1;1;1;0;0;220
ESC00021;Escola 21;4307675;Município 69;RJ;1;1.0;0;1;0;1;0;0;485
ESC00022;Escola 22;5427784;Município 62;RR;2;1.0;1;0;1;0;1;1;309
ESC00023;Escola 23;1873992;Município 3;RO;1;1.0;1;1;1;1;0;1;292
ESC00024;Escola 24;4601281;Município 32;SP;1;1.0;1;1;0;0;0;1;321
ESC00025;Escola 25;1229480;Município 17;AP;2;1.0;1;1;0;1;0;1;264
ESC00026;Escola 26;4004559;Município 79;RS;1;1.0;1;0;0;1;0;1;405
ESC00027;Escola 27;1114557;Município 71;SP;1;1.0;1;1;0;1;0;1;448
ESC00028;Escola 28;6456393;Município 67;AL;1;1.0;1;0;1;1;0;1;108
ESC00029;Escola 29;1306841;Município 49;AL;1;1.0;1;1;0;0;0;0;460
ESC00030;Escola 30;8639787;Município 22;SC;3;1.0;0;0;0;0;0;0;319
ESC00031;Escola 31;9232150;Município 11;MA;1;1.0;1;0;0;1;1;1;425
ESC00032;Escola 32;5521643;Município 74;PR;4;1.0;1;0;1;1;1;1;411
ESC00033;Escola 33;4508584;Município 15;PR;1;1.0;1;0;1;1;1;1;480
ESC00034;Escola 34;1616119;Município 82;TO;1;1.0;1;1;0;0;0;1;492
ESC00035;Escola 35;4793577;Município 70;MS;1;1.0;0;0;0;1;1;1;420
ESC00036;Escola 36;7267367;Município 98;BA;1;1.0;1;1;0;1;0;1;328
ESC00037;Escola 37;2885187;Município 83;DF;3;1.0;0;1;0;1;0;1;440
ESC00038;Escola 38;2726502;Município 23;AP;1;1.0;0;0;0;1;0;1;465
ESC00039;Escola 39;7937654;Município 73;AL;1;1.0;1;1;1;1;0;1;396
ESC00040;Escola 40;3050986;Município 65;CE;2;1.0;0;1;0;0;0;1;192
ESC00041;Escola 41;2640678;Município 97;ES;1;1.0;0;0;0;1;0;1;127
ESC00042;Escola 42;1590707;Município 38;ES;1;1.0;0;1;0;1;1;1;273
ESC00043;Escola 43;3394191;Município 64;BA;3;1.0;1;1;0;1;1;1;108
ESC00044;Escola 44;3050986;Município 65;RJ;2;1.0;0;1;1;1;1;1;298
ESC00045;Escola 45;1873992;Município 3;RR;3;1.0;1;0;1;0;1;1;272
ESC00046;Escola 46;7589212;Município 99;RJ;1;1.0;0;0;1;1;0;1;417
ESC00047;Escola 47;1306841;Município 49;MS;3;1.0;0;1;0;1;0;1;115
ESC00048;Escola 48;2052937;Município 50;AM;2;1.0;0;1;0;1;0;1;87
ESC00049;Escola 49;4691137;Município 93;AM;1;1.0;1;0;1;1;0;0;429
ESC00050;Escola 50;4307675;Município 69;GO;1;1.0;0;0;0;1;0;1;497
ESC00051;Escola 51;7909664;Município 92;DF;1;1.0;0;0;1;0;0;0;395
ESC00052;Escola 52;2640678;Município 97;MT;1;1.0;0;0;0;1;0;1;98
ESC00053;Escola 53;1215963;Município 72;AL;1;1.0;1;0;1;1;0;1;403
ESC00054;Escola 54;7171329;Município 75;CE;1;1.0;0;1;0;0;0;1;350
ESC00055;Escola 55;1616119;Município 82;SE;4;1.0;1;1;1;1;1;0;234
ESC00056;Escola 56;3394191;Município 64;PE;2;1.0;0;1;0;0;0;1;174
ESC00057;Escola 57;5440239;Município 58;MA;1;1.0;0;0;0;1;0;1;250
ESC00058;Escola 58;3050986;Município 65;AL;1;1.0;0;0;1;1;0;1;366
ESC00059;Escola 59;8383731;Município 27;PA;1;1.0;1;0;1;1;1;1;401
ESC00060;Escola 60;1400651;Município 59;PB;1;1.0;1;1;0;1;0;0;144
ESC00061;Escola 61;4508584;Município 15;MT;1;1.0;1;0;1;1;1;1;263
ESC00062;Escola 62;3303992;Município 2;AC;2;1.0;0;0;1;1;0;0;421
ESC00063;Escola 63;5351086;Município 88;MA;2;1.0;0;0;0;1;0;0;481
ESC00064;Escola 64;1616119;Município 82;RO;1;1.0;0;0;1;1;0;0;104
ESC00065;Escola 65;1873992;Município 3;CE;3;1.0;1;1;1;1;0;1;169
ESC00066;Escola 66;3010761;Município 47;AL;1;1.0;1;1;1;0;0;1;143
ESC00067;Escola 67;7902533;Município 63;SE;1;1.0;1;1;0;0;0;0;176
ESC00068;Escola 68;1696929;Município 34;SP;2;1.0;0;0;1;1;0;1;85
ESC00069;Escola 69;9352997;Município 26;RR;1;1.0;0;0;0;0;1;1;450
ESC00070;Escola 70;1014253;Município 31;RR;4;1.0;0;1;1;0;0;1;472
ESC00071;Escola 71;3221202;Município 84;GO;1;1.0;1;0;0;1;0;1;484
ESC00072;Escola 72;9850005;Município 81;ES;1;1.0;0;0;0;0;1;1;344
ESC00073;Escola 73;5975503;Município 56;MS;3;1.0;0;1;1;1;0;1;372
ESC00074;Escola 74;6456393;Município 67;AP;3;1.0;0;1;0;1;0;1;86
ESC00075;Escola 75;7589212;Município 99;PR;1;1.0;1;0;0;0;0;1;268
ESC00076;Escola 76;5233363;Município 14;AM;3;1.0;1;0;0;0;0;0;72
ESC00077;Escola 77;1590707;Município 38;AC;1;1.0;1;1;0;1;0;1;436
ESC00078;Escola 78;6456393;Município 67;AP;1;1.0;1;0;0;1;0;1;389
ESC00079;Escola 79;1629015;Município 41;MT;3;1.0;0;1;0;0;1;1;350
ESC00080;Escola 80;4601281;Município 32;PB;3;1.0;1;1;0;0;1;0;291
ESC00081;Escola 81;3010761;Município 47;ES;1;1.0;0;0;1;0;0;1;400
ESC00082;Escola 82;1598265;Município 43;PR;4;1.0;0;1;0;0;0;1;266
ESC00083;Escola 83;4196823;Município 6;MS;1;1.0;1;1;0;0;0;0;431
ESC00084;Escola 84;4508584;Município 15;AP;2;1.0;1;0;1;1;1;0;453
ESC00085;Escola 85;3303992;Município 2;MT;1;1.0;1;0;0;0;1;1;293
ESC00086;Escola 86;9232150;Município 11;PE;1;1.0;0;0;0;1;1;1;329
ESC00087;Escola 87;1598265;Município 43;PA;1;1.0;0;0;0;1;0;0;460
ESC00088;Escola 88;3441000;Município 100;AP;1;1.0;1;0;1;0;0;0;330
ESC00089;Escola 89;9865606;Município 89;MG;1;1.0;1;0;0;1;0;1;80
ESC00090;Escola 90;6307081;Município 48;AC;1;1.0;1;0;1;0;1;1;52
ESC00091;Escola 91;1114557;Município 71;RS;2;1.0;1;1;0;1;0;1;124
ESC00092;Escola 92;4508584;Município 15;AM;2;1.0;1;1;0;0;0;1;208
ESC00093;Escola 93;6730704;Município 52;GO;2;1.0;1;1;1;0;1;1;391
ESC00094;Escola 94;4307675;Município 69;PA;1;1.0;1;1;0;0;0;1;284
ESC00095;Escola 95;1738700;Município 87;PI;1;1.0;1;0;0;0;0;1;87
ESC00096;Escola 96;4948579;Município 12;AM;4;1.0;1;0;1;0;0;0;350
ESC00097;Escola 97;4245421;Município 5;CE;1;1.0;1;0;1;1;1;1;409
ESC00098;Escola 98;1873992;Município 3;TO;1;1.0;1;1;0;0;0;1;381
ESC00099;Escola 99;3441000;Município 100;RJ;1;1.0;1;1;0;1;0;1;261
ESC00100;Escola 100;3010761;Município 47;AM;2;1.0;1;1;1;0;0;1;65
ESC00101;Escola 101;3303992;Município 2;SP;1;1.0;1;1;0;0;1;1;207
ESC00102;Escola 102;1037369;Município 57;AC;1;1.0;0;0;0;0;1;1;201
ESC00103;Escola 103;5126851;Município 20;RR;1;1.0;1;1;0;0;1;1;443
ESC00104;Escola 104;3010761;Município 47;RO;3;1.0;0;0;1;0;0;1;347
ESC00105;Escola 105;2447001;Município 9;CE;1;1.0;1;1;1;0;0;0;246
ESC00106;Escola 106;6316489;Município 77;AC;2;1.0;0;1;0;0;0;0;271
ESC00107;Escola 107;7296975;Município 7;TO;2;1.0;1;0;0;0;0;1;417
ESC00108;Escola 108;8522842;Município 44;ES;3;1.0;0;1;1;1;0;1;154
ESC00109;Escola 109;9089832;Município 39;MA;2;1.0;1;1;1;1;0;0;190
ESC00110;Escola 110;4196823;Município 6;AC;1;1.0;1;0;1;0;0;1;424
ESC00111;Escola 111;7937654;Município 73;AP;2;1.0;1;0;0;0;0;1;457
ESC00112;Escola 112;9865606;Município 89;AP;3;1.0;1;1;0;0;0;0;195
ESC00113;Escola 113;1014253;Município 31;AC;4;1.0;0;0;0;0;0;1;420
ESC00114;Escola 114;3394191;Município 64;SP;1;1.0;1;1;0;0;0;1;169
ESC00115;Escola 115;5351086;Município 88;SE;2;1.0;1;0;0;1;0;1;132
ESC00116;Escola 116;7614014;Município 35;MG;1;1.0;1;0;1;0;0;0;377
ESC00117;Escola 117;5427784;Município 62;RN;4;1.0;1;0;0;1;0;0;181
ESC00118;Escola 118;7171329;Município 75;AC;1;1.0;1;0;1;0;0;1;187
ESC00119;Escola 119;1306841;Município 49;PE;1;1.0;1;1;0;1;0;1;230
ESC00120;Escola 120;4793577;Município 70;MS;2;1.0;1;0;0;1;1;1;325
ESC00121;Escola 121;1576485;Município 60;AM;1;1.0;0;0;0;1;1;0;317
ESC00122;Escola 122;1696929;Município 34;RO;3;1.0;1;1;0;0;1;0;169
ESC00123;Escola 123;6730704;Município 52;TO;1;1.0;1;1;0;1;0;1;307
ESC00124;Escola 124;6316351;Município 53;GO;1;1.0;0;0;1;1;0;1;98
ESC00125;Escola 125;1598265;Município 43;PI;1;1.0;1;1;1;0;0;1;375
ESC00126;Escola 126;9865606;Município 89;MG;1;1.0;1;0;0;1;0;1;456
ESC00127;Escola 127;7267367;Município 98;PE;2;1.0;1;1;0;1;0;1;370
ESC00128;Escola 128;4691137;Município 93;AP;3;1.0;1;1;1;1;0;1;156
ESC00129;Escola 129;3397644;Município 10;AM;2;1.0;0;0;1;1;0;1;112
ESC00130;Escola 130;6922887;Município 36;PI;1;1.0;1;0;0;0;0;1;256
ESC00131;Escola 131;5616719;Município 24;TO;1;1.0;1;1;0;0;0;1;262
ESC00132;Escola 132;5351086;Município 88;MS;1;1.0;0;0;0;0;0;1;61
ESC00133;Escola 133;3751310;Município 90;RN;4;1.0;0;0;0;0;1;0;362
ESC00134;Escola 134;5761021;Município 78;AC;3;1.0;1;0;0;1;0;1;229
ESC00135;Escola 135;2157217;Município 30;SP;1;1.0;1;1;0;1;0;1;105
ESC00136;Escola 136;4793577;Município 70;RO;1;1.0;1;1;1;1;0;1;252
ESC00137;Escola 137;7797984;Município 55;PR;1;1.0;0;1;1;0;0;1;376
ESC00138;Escola 138;3010761;Município 47;PE;2;1.0;0;1;1;1;0;1;479
ESC00139;Escola 139;7614014;Município 35;RJ;1;1.0;1;0;0;1;0;1;433
ESC00140;Escola 140;8639787;Município 22;SE;1;1.0;0;0;1;1;1;1;485
ESC00141;Escola 141;3148069;Município 4;MA;1;1.0;0;0;1;0;0;1;55
ESC00142;Escola 142;4026055;Município 1;DF;1;1.0;1;0;0;0;0;0;450
ESC00143;Escola 143;6226817;Município 61;RJ;1;1.0;0;1;1;0;0;1;119
ESC00144;Escola 144;1873992;Município 3;RO;4;1.0;1;1;0;0;0;1;189
ESC00145;Escola 145;7614014;Município 35;TO;1;1.0;0;1;0;0;1;1;172
ESC00146;Escola 146;1598265;Município 43;DF;2;1.0;0;1;1;1;0;0;274
ESC00147;Escola 147;9850005;Município 81;MG;2;1.0;0;1;0;1;0;1;311
ESC00148;Escola 148;7296975;Município 7;PE;1;1.0;1;0;0;1;0;1;301
ESC00149;Escola 149;7067436;Município 80;GO;3;1.0;1;1;1;1;1;1;87
ESC00150;Escola 150;4196823;Município 6;GO;1;1.0;1;1;0;0;0;1;58
ESC00151;Escola 151;7589212;Município 99;SP;2;1.0;0;0;1;0;0;1;478
ESC00152;Escola 152;6307081;Município 48;RO;1;1.0;0;0;0;1;0;1;461
ESC00153;Escola 153;8072166;Município 85;SP;2;1.0;0;0;1;0;0;1;338
ESC00154;Escola 154;8072166;Município 85;ES;1;1.0;1;0;0;0;1;0;92
ESC00155;Escola 155;7614014;Município 35;MS;3;1.0;1;1;0;1;0;1;75
ESC00156;Escola 156;6316489;Município 77;PI;1;1.0;0;0;0;1;0;1;276
ESC00157;Escola 157;6316351;Município 53;RN;1;1.0;1;1;0;1;0;1;370
ESC00158;Escola 158;8072166;Município 85;AL;1;1.0;0;1;0;1;0;1;240
ESC00159;Escola 159;1014253;Município 31;TO;1;1.0;1;0;1;0;0;0;446
ESC00160;Escola 160;6922887;Município 36;RR;2;1.0;0;1;0;0;1;1;321
ESC00161;Escola 161;6922887;Município 36;PI;1;1.0;0;1;1;1;1;1;354
ESC00162;Escola 162;7093107;Município 86;SE;1;1.0;1;0;1;1;0;0;72
ESC00163;Escola 163;7902533;Município 63;BA;1;1.0;1;1;0;0;1;1;118
ESC00164;Escola 164;7296975;Município 7;BA;2;1.0;0;1;0;1;1;0;415
ESC00165;Escola 165;8383731;Município 27;RJ;1;1.0;0;1;0;0;0;1;178
ESC00166;Escola 166;5196914;Município 33;TO;1;1.0;0;0;1;1;0;1;313
ESC00167;Escola 167;9708150;Município 28;PA;1;1.0;1;0;0;1;0;1;368
ESC00168;Escola 168;7296975;Município 7;SC;1;1.0;0;1;0;1;0;1;145
ESC00169;Escola 169;4508584;Município 15;MA;1;1.0;0;1;1;1;1;1;266
ESC00170;Escola 170;1629015;Município 41;GO;2;1.0;0;1;1;1;0;1;73
ESC00171;Escola 171;1229480;Município 17;CE;3;1.0;1;0;0;0;1;1;206
ESC00172;Escola 172;3394191;Município 64;PB;1;1.0;1;1;0;1;1;1;314
ESC00173;Escola 173;6307081;Município 48;MA;1;1.0;1;1;0;1;0;1;386
ESC00174;Escola 174;7614014;Município 35;AP;4;1.0;1;0;0;1;0;1;491
ESC00175;Escola 175;9708150;Município 28;DF;1;1.0;1;1;0;1;0;1;287
ESC00176;Escola 176;4601281;Município 32;SC;3;1.0;1;1;0;1;1;0;206
ESC00177;Escola 177;9470497;Município 46;PA;1;1.0;1;1;0;1;0;0;388
ESC00178;Escola 178;1616119;Município 82;PA;1;1.0;1;1;0;1;0;1;185
ESC00179;Escola 179;7130741;Município 13;PI;1;1.0;1;0;0;1;1;0;498
ESC00180;Escola 180;3050986;Município 65;PA;1;1.0;0;1;1;0;1;0;190
ESC00181;Escola 181;3526829;Município 68;RR;1;1.0;1;1;0;0;0;0;363
ESC00182;Escola 182;1248881;Município 40;GO;2;1.0;1;1;1;1;0;1;366
ESC00183;Escola 183;7589212;Município 99;GO;3;1.0;0;0;1;0;0;1;390
ESC00184;Escola 184;2790176;Município 96;SE;1;1.0;1;1;1;1;0;1;249
ESC00185;Escola 185;7079097;Município 8;BA;2;1.0;1;0;0;1;0;1;194
ESC00186;Escola 186;7079097;Município 8;MG;1;1.0;1;0;0;1;0;1;93
ESC00187;Escola 187;2790176;Município 96;AC;1;1.0;1;0;1;1;0;1;61
ESC00188;Escola 188;3751310;Município 90;TO;1;1.0;1;1;1;0;0;1;158
ESC00189;Escola 189;3303992;Município 2;CE;1;1.0;1;1;0;1;0;1;240
ESC00190;Escola 190;5196914;Município 33;ES;4;1.0;0;1;0;0;0;1;68
ESC00191;Escola 191;9850005;Município 81;RJ;2;1.0;1;0;1;0;1;0;414
ESC00192;Escola 192;1873992;Município 3;AP;2;1.0;1;1;0;1;0;1;340
ESC00193;Escola 193;7589212;Município 99;SC;2;1.0;0;1;0;1;0;1;318
ESC00194;Escola 194;7909664;Município 92;RS;3;1.0;0;0;0;1;0;0;407
ESC00195;Escola 195;4004559;Município 79;RJ;1;1.0;1;1;0;1;0;1;394
ESC00196;Escola 196;4196823;Município 6;GO;1;1.0;1;0;0;0;1;1;444
ESC00197;Escola 197;6730704;Município 52;PA;1;1.0;1;1;0;0;0;0;90
ESC00198;Escola 198;1014253;Município 31;TO;1;1.0;1;0;0;0;0;0;250
ESC00199;Escola 199;1215963;Município 72;RJ;2;1.0;1;1;1;0;0;1;491
ESC00200;Escola 200;9089832;Município 39;AC;1;1.0;1;0;0;1;0;0;105
